gene	module
DSP	grey
DST	pink
DSTN	grey
DSTYK	grey
DTD1	grey
DTHD1	green
DTL	red
DTNA	grey
DTNB	grey
DTNBP1	grey
DTWD1	blue
DTWD2	grey
DTX3	red
DTX3L	greenyellow
DTX4	salmon
DTYMK	grey
DUOX1	greenyellow
DUOX2	brown
DUOXA1	grey
DUOXA2	brown
DUS1L	grey
DUS2L	grey
DUS3L	grey
DUS4L	grey
DUSP1	grey
DUSP10	grey
DUSP11	grey
DUSP12	grey
DUSP14	grey
DUSP16	yellow
DUSP18	red
DUSP19	green
DUSP2	turquoise
DUSP21	turquoise
DUSP22	grey
DUSP23	grey
DUSP28	black
DUSP3	pink
DUSP4	grey
DUSP5	grey
DUSP6	pink
DUSP7	pink
DUSP8	turquoise
DUSP9	grey
DUT	blue
DVL1	grey
DVL2	grey
DVL3	grey
DYDC1	green
DYDC2	green
DYM	black
DYNC1H1	grey
DYNC1I2	blue
DYNC1LI1	grey
DYNC1LI2	greenyellow
DYNC2H1	red
DYNC2LI1	green
DYNLL1	grey
DYNLL2	grey
DYNLRB1	salmon
DYNLRB2	green
DYNLT1	black
DYNLT3	blue
DYRK1A	cyan
DYRK1B	darkred
DYRK2	grey
DYRK3	green
DYSF	grey
DYX1C1	green
DZANK1	red
DZIP1	green
DZIP1L	red
DZIP3	green
E2F1	turquoise
E2F2	grey
E2F3	grey
E2F4	grey
E2F5	black
E2F6	turquoise
E2F7	grey
E2F8	darkred
E4F1	darkred
EAF1	greenyellow
EAF2	blue
EAPP	blue
EARS2	grey
EBAG9	grey
EBF2	turquoise
EBF4	darkred
EBI3	grey
EBLN1	turquoise
EBLN2	turquoise
EBNA1BP2	grey
EBP	lightcyan
EBPL	grey
ECD	grey
ECE1	pink
ECEL1P2	turquoise
ECHDC1	grey
ECHDC2	grey
ECHDC3	turquoise
ECHS1	grey
ECI1	brown
ECI2	black
ECM1	brown
ECM2	grey
ECSIT	grey
ECT2	blue
ECT2L	green
EDA	grey
EDAR	grey
EDARADD	grey
EDC3	darkred
EDC4	greenyellow
EDEM1	grey60
EDEM2	greenyellow
EDEM3	grey
EDF1	yellow
EDIL3	grey
EDN1	grey
EDN2	grey
EDNRA	brown
EEA1	grey
EED	grey
EEF1A1	blue
EEF1A2	brown
EEF1B2	blue
EEF1D	blue
EEF1E1	blue
EEF1G	grey
EEF2	grey
EEF2K	grey
EEFSEC	salmon
EEPD1	grey
EFCAB1	green
EFCAB11	green
EFCAB2	grey
EFCAB4A	grey
EFCAB4B	grey
EFCAB5	grey
EFCAB6	red
EFCAB7	green
EFEMP1	grey
EFEMP2	grey
EFHA1	black
EFHA2	grey
EFHB	green
EFHC1	green
EFHC2	green
EFHD1	grey
EFHD2	brown
EFNA1	grey
EFNA2	grey
EFNA3	brown
EFNA5	grey
EFNB1	pink
EFNB2	pink
EFNB3	grey
EFR3A	brown
EFS	grey
EFTUD1	grey
EFTUD2	greenyellow
EGF	grey
EGFL6	blue
EGFL7	grey
EGFL8	turquoise
EGFR	greenyellow
EGLN1	grey
EGLN2	grey
EGLN3	grey
EGR1	grey
EGR2	grey
EGR3	darkred
EHBP1L1	greenyellow
EHD1	yellow
EHD2	yellow
EHD3	lightcyan
EHD4	grey
EHF	grey
EHHADH	darkred
EHMT1	grey
EHMT2	grey
EI24	grey
EID1	grey
EID2	grey
EID2B	grey
EID3	turquoise
EIF1	grey
EIF1AD	brown
EIF1AX	grey
EIF1AY	grey
EIF1B	lightgreen
EIF2A	blue
EIF2AK1	greenyellow
EIF2AK2	cyan
EIF2AK3	grey60
EIF2AK4	grey
EIF2B1	grey
EIF2B2	grey
EIF2B3	grey
EIF2B4	grey
EIF2B5	grey
EIF2C1	grey
EIF2C2	greenyellow
EIF2C3	grey
EIF2C4	grey60
EIF2D	grey
EIF2S1	grey
EIF2S2	blue
EIF2S3	grey
EIF3A	greenyellow
EIF3B	greenyellow
EIF3D	darkred
EIF3E	blue
EIF3F	grey
EIF3G	salmon
EIF3H	brown
EIF3I	grey
EIF3IP1	turquoise
EIF3J	grey
EIF3K	grey
EIF3L	grey
EIF3M	grey
EIF4A1	grey
EIF4A2	blue
EIF4A3	grey
EIF4B	grey
EIF4E	blue
EIF4E2	yellow
EIF4E3	brown
EIF4EBP1	grey
EIF4EBP2	greenyellow
EIF4EBP3	darkred
EIF4ENIF1	cyan
EIF4G1	cyan
EIF4G2	grey60
EIF4G3	grey
EIF4H	greenyellow
EIF5	grey
EIF5A	yellow
EIF5A2	grey
EIF5AL1	turquoise
EIF5B	grey60
EIF6	grey
ELAC1	black
ELAC2	greenyellow
ELAVL1	grey
ELF1	cyan
ELF2	grey
ELF3	grey
ELF4	greenyellow
ELF5	grey
ELK1	greenyellow
ELK3	lightcyan
ELL	grey
ELL2	grey
ELL3	green
ELMO2	greenyellow
ELMO3	salmon
ELMOD1	green
ELMOD2	blue
ELMOD3	grey
ELN	darkred
ELOF1	darkred
ELOVL1	yellow
ELOVL4	grey
ELOVL5	brown
ELOVL6	turquoise
ELOVL7	grey
ELP2	grey
ELP3	grey
ELP4	grey
EMB	black
EMD	grey
EMG1	blue
EMID1	grey
EMILIN2	pink
EML1	red
EML2	grey
EML3	grey
EML4	grey
EML5	turquoise
EML6	red
EMP1	brown
EMP2	darkred
EMP3	grey
EMR1	turquoise
ENAH	grey
ENC1	pink
ENDOD1	yellow
ENDOG	grey
ENDOV	grey
ENG	grey
ENGASE	grey
ENKUR	green
ENO1	grey
ENO2	grey
ENO3	turquoise
ENO4	red
ENOPH1	blue
ENOSF1	grey
ENOX2	salmon
ENPP1	brown
ENPP3	grey
ENPP4	grey
ENPP5	grey
ENSA	grey
ENTPD2	grey
ENTPD3	grey
ENTPD4	greenyellow
ENTPD5	yellow
ENTPD6	brown
ENTPD7	grey
ENTPD8	turquoise
ENY2	blue
EP300	cyan
EP400	grey
EPAS1	salmon
EPB41	brown
EPB41L1	lightyellow
EPB41L2	grey
EPB41L3	grey
EPB41L4A	grey
EPB41L5	blue
EPB49	grey
EPC1	grey
EPC2	grey
EPCAM	grey
EPDR1	grey
EPG5	cyan
EPHA1	yellow
EPHA2	brown
EPHA4	yellow
EPHB2	pink
EPHB3	grey
EPHB4	yellow
EPHB6	grey
EPHX1	grey
EPHX2	grey
EPHX3	grey
EPHX4	grey
EPM2A	grey
EPM2AIP1	turquoise
EPN1	grey
EPN2	lightyellow
EPN3	grey
EPOR	turquoise
EPRS	grey
EPS15	grey
EPS15L1	greenyellow
EPS8	grey
EPS8L1	brown
EPS8L2	yellow
EPS8L3	yellow
EPSTI1	lightgreen
EPT1	grey
ERAL1	grey
ERAP1	grey
ERAP2	grey
ERAS	turquoise
ERBB2	greenyellow
ERBB3	greenyellow
ERBB4	green
ERC1	grey
ERCC1	grey
ERCC2	grey
ERCC3	salmon
ERCC4	darkred
ERCC6	grey
ERCC6L	green
ERCC8	blue
EREG	grey
ERF	grey
ERGIC1	yellow
ERGIC2	blue
ERGIC3	darkred
ERH	blue
ERI1	grey
ERI2	black
ERI3	darkred
ERICH1	grey
ERLEC1	grey
ERLIN1	grey
ERLIN2	grey
ERMAP	darkred
ERMP1	cyan
ERN1	yellow
ERN2	grey
ERO1L	brown
ERO1LB	black
ERP27	black
ERP29	grey
ERP44	lightgreen
ERRFI1	grey
ERV3-1	grey
ERVK13-1	grey
ERVMER34-1	pink
ERVV-1	turquoise
ESAM	brown
ESCO1	blue
ESCO2	green
ESD	black
ESF1	blue
ESM1	grey
ESPL1	grey
ESPN	grey
ESRP1	grey
ESRP2	greenyellow
ESRRA	grey
ESYT1	yellow
ESYT2	salmon
ETAA1	blue
ETF1	grey
ETFA	grey
ETFB	salmon
ETFDH	grey60
ETHE1	brown
ETNK1	grey
ETNK2	grey
ETS1	grey
ETS2	grey
ETV3	grey
ETV4	lightcyan
ETV5	pink
ETV6	greenyellow
ETV7	brown
EVC	grey
EVC2	grey
EVI2A	black
EVI2B	grey
EVI5	black
EVI5L	grey60
EVPL	greenyellow
EVPLL	grey
EWSR1	lightyellow
EXD2	yellow
EXD3	grey
EXOC1	blue
EXOC2	grey
EXOC3	greenyellow
EXOC3L1	turquoise
EXOC3L4	grey
EXOC4	salmon
EXOC5	grey
EXOC6	grey
EXOC6B	grey
EXOC7	grey
EXOC8	grey
EXOG	grey
EXOSC1	blue
EXOSC10	grey
EXOSC2	grey
EXOSC3	grey
EXOSC4	grey
EXOSC5	grey
EXOSC7	grey
EXOSC8	blue
EXOSC9	blue
EXPH5	grey
EXT1	grey
EXT2	grey
EXTL2	green
EXTL3	yellow
EYA1	grey
EYA2	lightyellow
EYA3	brown
EYA4	grey
EZH1	grey
EZH2	grey
EZR	salmon
F11R	greenyellow
F12	grey
F2	turquoise
F2R	grey
F2RL1	grey
F3	pink
F5	darkred
F8	grey
FA2H	brown
FAAH	grey
FAAH2	grey
FABP5	grey
FABP6	grey
FADD	grey
FADS1	turquoise
FADS2	pink
FADS3	pink
FAF1	grey
FAF2	grey
FAH	grey
FAHD1	turquoise
FAHD2A	grey
FAIM	black
FAIM2	grey
FAIM3	grey
FAM100A	grey
FAM100B	grey
FAM102A	greenyellow
FAM102B	grey
FAM103A1	blue
FAM104A	grey
FAM104B	green
FAM105A	grey
FAM105B	grey
FAM106A	turquoise
FAM106CP	turquoise
FAM108A1	turquoise
FAM108B1	black
FAM108C1	brown
FAM109A	yellow
FAM109B	brown
FAM110A	grey
FAM110C	grey
FAM111A	black
FAM111B	grey
PCED1A	grey
PCED1B	grey
FAM114A1	yellow
FAM114A2	blue
FAM115A	greenyellow
FAM115C	yellow
DENND6A	grey
DENND6B	red
FAM117A	lightyellow
FAM117B	grey
FAM118A	grey
FAM118B	blue
FAM120A	greenyellow
FAM120AOS	grey
FAM120B	darkred
FAM120C	darkred
FAM122A	turquoise
FAM122B	grey
FAM122C	grey
FAM123A	turquoise
FAM123B	grey
FAM125A	grey
FAM125B	grey
FAM126A	grey
FAM126B	grey
FAM127B	yellow
FAM127C	turquoise
FAM129A	grey
FAM129B	brown
FAM131A	grey
FAM131B	grey
FAM132A	turquoise
FAM134A	grey
FAM134B	grey
FAM134C	greenyellow
FAM135A	grey
FAM136A	grey
FAM138D	turquoise
FAM13A	green
FAM13B	black
FAM13C	green
FAM149A	red
FAM149B1	grey
FAM150A	grey
FAM150B	pink
FAM151B	grey
FAM153C	grey
FAM154B	red
FAM155A	grey
FAM155B	grey
FAM156B	turquoise
EMC9	grey
FAM160A1	grey
FAM160A2	grey
FAM160B1	turquoise
FAM160B2	greenyellow
FAM161A	green
FAM161B	red
FAM162A	grey
ZC2HC1A	black
ZC2HC1C	green
FAM165B	grey
FAM166B	green
FAM167A	darkred
FAM168A	greenyellow
FAM168B	greenyellow
FAM169A	grey
FAM171A1	grey
FAM171A2	pink
FAM171B	grey
FAM172A	grey
FAM172BP	grey
FAM173A	brown
FAM173B	grey
FAM174A	green
FAM174B	grey
FAM175A	black
FAM175B	grey
FAM176A	pink
FAM177A1	lightgreen
FAM177B	brown
FAM178A	turquoise
FAM178B	grey
FAM179A	red
FAM179B	green
FAM181A	red
FAM181B	turquoise
FAM182A	red
FAM182B	grey
FAM183A	green
FAM183B	turquoise
FAM184A	green
FAM185A	grey
FAM186B	grey
FAM188A	blue
FAM188B	red
FAM189A2	grey
FAM18B1	grey
FAM18B2	black
FAM190A	grey
FAM190B	lightcyan
FAM192A	grey
FAM193A	greenyellow
FAM193B	brown
FAM194A	green
FAM195A	grey
FAM195B	grey
FAM198A	grey
FAM198B	grey
FAM199X	grey
FAM19A2	black
FAM200A	grey
FAM200B	black
FAM203A	grey
FAM204A	blue
FAM206A	green
FAM207A	grey
FAM208A	grey
FAM208B	grey
FAM209B	grey
FAM20A	grey
FAM20B	yellow
FAM20C	grey
FAM210A	turquoise
FAM210B	grey
FAM211B	grey
FAM212A	grey
FAM212B	grey
C10orf57	grey
FAM213B	grey
FAM214A	grey
FAM214B	pink
FAM215A	turquoise
FAM21C	grey
FAM22A	grey
FAM22D	grey
FAM24B	grey
FAM26E	lightcyan
FAM26F	grey
FAM32A	grey
FAM35A	blue
COX20	blue
FAM3A	grey
FAM3B	royalblue
FAM3C	grey
FAM3D	brown
FAM40A	greenyellow
FAM40B	grey
FAM43A	turquoise
FAM43B	turquoise
FAM45A	grey
FAM46A	grey
FAM46B	turquoise
FAM46C	grey
FAM47B	turquoise
FAM47E	red
FAM48A	grey
FAM48B2	turquoise
FAM49A	grey
FAM49B	lightgreen
FAM50A	grey
FAM50B	salmon
FAM53A	grey
FAM53B	grey
FAM53C	greenyellow
FAM54A	black
FAM54B	grey
NXPE3	grey
FAM57A	yellow
FAM58A	grey
FAM58BP	turquoise
FAM59A	greenyellow
FAM60A	grey
FAM63B	grey
FAM65B	grey
FAM65C	grey
FAM66C	turquoise
FAM69A	grey
FAM71A	turquoise
FAM71E1	grey
FAM71E2	turquoise
FAM72A	grey
FAM72D	green
FAM73A	blue
FAM73B	grey
SPATA31C1	turquoise
SPATA31C2	turquoise
FAM76A	black
FAM76B	blue
FAM78A	grey
FAM81A	red
FAM81B	green
FAM82A2	salmon
FAM82B	black
FAM83A	grey
FAM83B	grey
FAM83C	grey
FAM83D	brown
FAM83E	grey
FAM83F	greenyellow
FAM83G	pink
FAM83H	greenyellow
FAM84A	grey
FAM84B	greenyellow
FAM86A	grey
FAM86C1	grey
FAM86C2P	red
FAM86DP	grey
FAM86HP	grey
FAM89B	grey
FAM8A1	grey
FAM91A1	grey
FAM92A1	green
FAM92A1P2	turquoise
FAM92B	red
FAM96A	blue
FAM96B	grey
FAM98A	grey
FAM98B	grey
FAM98C	grey
FAN1	salmon
FANCA	grey
FANCB	grey
FANCC	grey
FANCD2	grey
FANCE	grey
FANCF	darkred
FANCG	grey
FANCI	grey
FANCL	black
FANCM	black
FANK1	green
FAP	pink
FAR1	grey
FAR2	grey
FARP1	grey
FARP2	salmon
FARS2	grey
FARSA	turquoise
FARSB	grey
FAS	grey
FASN	greenyellow
FASTK	grey
FASTKD1	blue
FASTKD2	blue
FASTKD3	grey
FASTKD5	grey
FAT1	grey
FAT2	grey
FAT3	grey
FAT4	grey
FAU	grey
FBF1	red
FBL	grey
FBLIM1	pink
FBLL1	turquoise
FBLN1	grey
FBLN2	grey
FBLN5	grey
FBLN7	grey
FBN1	grey
FBN2	yellow
FBP1	yellow
FBRS	grey
FBXL12	grey
FBXL13	black
FBXL14	grey
FBXL15	grey
FBXL16	grey
FBXL17	grey
FBXL18	yellow
FBXL19	grey
FBXL2	green
FBXL20	grey
FBXL3	grey
FBXL4	grey
FBXL5	grey
FBXL6	turquoise
FBXL7	greenyellow
FBXL8	grey
FBXO10	yellow
FBXO11	green
FBXO15	red
FBXO16	green
FBXO18	grey
FBXO2	grey
FBXO21	grey
FBXO22	blue
FBXO24	turquoise
FBXO25	grey
FBXO27	grey
FBXO28	yellow
FBXO3	blue
FBXO30	grey
FBXO31	grey
FBXO32	grey
FBXO33	blue
FBXO36	green
FBXO38	grey
FBXO4	black
FBXO41	turquoise
FBXO42	grey
FBXO44	grey
FBXO45	grey
FBXO46	greenyellow
FBXO48	grey
FBXO5	grey
FBXO6	grey
FBXO7	grey
FBXO8	blue
FBXO9	grey
FBXW11	yellow
FBXW12	turquoise
FBXW2	greenyellow
FBXW4	grey
FBXW5	brown
FBXW7	grey
FBXW8	salmon
FBXW9	red
FCF1	black
FCGBP	brown
FCGRT	grey
FCHO2	brown
FCHSD1	grey
FCHSD2	grey
FCN3	green
FCRL2	turquoise
FCRLB	grey
FDFT1	grey
FDPS	yellow
FDX1	blue
FDX1L	grey
FDXACB1	grey
FDXR	green
FECH	grey
FEM1A	grey
FEM1B	grey
FEM1C	grey
FEN1	grey
FER	black
FER1L5	red
FER1L6	grey60
FERD3L	turquoise
FERMT1	pink
FERMT2	grey
FERMT3	turquoise
FES	grey
FETUB	brown
FEZ1	pink
FEZ2	grey
FFAR1	turquoise
FFAR2	turquoise
FGD1	grey
FGD2	grey
FGD3	grey
FGD4	grey
FGD6	pink
FGF1	pink
FGF11	grey
FGF13	brown
FGF14	green
FGF16	turquoise
FGF17	grey
FGF2	grey
FGF5	pink
FGFBP1	grey
FGFR1OP	green
FGFR1OP2	blue
FGFR2	grey
FGFR3	darkred
FGFR4	turquoise
FGFRL1	grey
FGGY	grey
FGR	turquoise
FH	grey
FHAD1	red
FHDC1	yellow
FHIT	grey
FHL2	pink
FHL3	grey
FHOD1	grey
FHOD3	pink
FIBIN	turquoise
FIBP	grey
FICD	yellow
FIG4	grey
FIGN	yellow
FIGNL1	grey
FILIP1	red
FIP1L1	grey
FIS1	grey
FITM1	turquoise
FITM2	grey
FIZ1	grey
FJX1	turquoise
FKBP10	grey
FKBP11	grey
FKBP14	lightgreen
FKBP15	grey
FKBP1A	grey
FKBP1B	grey
FKBP2	grey
FKBP3	blue
FKBP4	grey
FKBP5	darkred
FKBP7	grey
FKBP8	grey
FKBP9	greenyellow
FKRP	darkred
FKSG29	turquoise
FKTN	grey
FLAD1	grey
FLCN	grey
FLG	grey
FLI1	grey
FLII	greenyellow
FLJ12334	grey
FLJ13197	grey
FLJ13224	turquoise
FLJ14107	turquoise
FLJ14186	grey
FLJ16779	turquoise
FLJ20021	grey
FLJ22184	grey
FLJ23152	green
FLJ25758	turquoise
FLJ26850	green
FLJ27352	black
FLJ27354	grey
FLJ30403	grey
FLJ30679	turquoise
SLC2A1-AS1	grey
FLJ35946	grey
KCNJ2-AS1	turquoise
FLJ36777	turquoise
FLJ37035	grey
FLJ40292	turquoise
FLJ40852	green
FLJ42351	turquoise
FLJ42393	turquoise
FLJ42627	turquoise
FLJ42709	grey
FLJ45340	grey
FLJ46066	brown
BAIAP2-AS1	darkred
FLNA	pink
FLNB	yellow
FLNC	brown
FLOT1	grey
FLOT2	salmon
FLRT2	pink
FLRT3	grey
FLT1	turquoise
FLT3LG	grey
FLVCR1	grey
FLVCR2	grey
FLYWCH1	grey
FLYWCH2	grey
FMN1	lightyellow
FMNL1	yellow
FMNL2	grey
FMNL3	pink
FMO2	black
FMO3	grey
FMO4	grey
FMO5	grey
FMO6P	grey
FMOD	brown
FMR1	grey
FN1	pink
FN3K	grey
FN3KRP	grey
FNBP1	yellow
FNBP1L	grey
FNBP4	cyan
FNDC3A	grey
FNDC3B	pink
FNDC4	grey
FNIP2	grey
FNTA	blue
FOLH1	royalblue
FOLR3	grey
FOPNL	grey
FOS	grey
FOSB	grey
FOSL1	grey
FOSL2	yellow
FOXA1	greenyellow
FOXA2	grey
FOXA3	brown
FOXB2	turquoise
FOXC1	grey
FOXC2	turquoise
FOXD1	lightcyan
FOXD2	turquoise
FOXD3	turquoise
FOXD4	turquoise
FOXD4L1	turquoise
FOXE1	grey
FOXE3	turquoise
FOXG1	turquoise
FOXI1	grey
FOXI2	grey
FOXJ1	red
FOXJ2	greenyellow
FOXJ3	greenyellow
FOXK1	grey
FOXK2	grey
FOXL1	turquoise
FOXL2	turquoise
FOXM1	darkred
FOXN1	grey
FOXN2	grey
FOXN3	greenyellow
FOXN4	red
FOXO1	greenyellow
FOXO3	grey
FOXO4	grey
FOXP2	grey
FOXP3	turquoise
FOXP4	greenyellow
FOXQ1	grey
FOXR2	turquoise
FOXRED1	grey
FOXRED2	grey
FOXS1	turquoise
FP588	turquoise
FPGS	grey
FRA10AC1	blue
FRAS1	yellow
FRAT1	turquoise
FRAT2	grey
FREM2	grey
FRG1	blue
FRK	grey
FRMD4A	grey
FRMD4B	grey
FRMD5	pink
FRMD6	pink
FRMD8	greenyellow
FRMPD2	red
FRMPD2P1	grey
FRRS1	grey
FRS2	blue
FRS3	grey
FRY	grey
FRYL	yellow
FSCB	turquoise
FSCN1	pink
FSCN2	grey
FSD1L	green
FSIP1	green
FSIP2	black
FST	grey
FSTL1	grey
FSTL3	pink
FSTL4	grey
FTH1	lightcyan
FTH1P3	turquoise
FTL	brown
FTMT	turquoise
FTO	grey
FTSJ1	yellow
FTSJ2	grey
FTSJ3	grey
FTSJD1	blue
FTSJD2	cyan
FTX	grey
FUBP1	grey
FUBP3	greenyellow
FUCA1	cyan
FUCA2	grey
FUK	turquoise
FUNDC1	blue
FUNDC2	grey
FUNDC2P2	turquoise
FURIN	pink
FUS	greenyellow
FUT1	grey
FUT10	grey
FUT11	yellow
FUT2	yellow
FUT4	turquoise
FUT6	brown
FUT8	grey
FUZ	red
FXC1	grey
FXN	grey
FXR1	blue
FXR2	grey60
FXYD3	grey
FXYD5	pink
FYCO1	greenyellow
FYN	grey
FYTTD1	grey
FZD1	grey
FZD10	turquoise
FZD2	turquoise
FZD3	grey
FZD4	grey
FZD5	brown
FZD6	black
FZD7	turquoise
FZD8	grey
FZD9	turquoise
FZR1	yellow
G0S2	grey
G2E3	black
G3BP1	grey
G3BP2	lightgreen
G6PC3	black
G6PD	grey
GAA	yellow
GAB1	cyan
GAB2	grey
GABARAP	blue
GABARAPL1	grey
GABARAPL2	blue
GABBR2	grey
GABPA	blue
GABPB1	grey
GABPB2	grey
GABRA1	turquoise
GABRA3	grey
GABRB1	turquoise
GABRE	grey
GABRP	brown
GAD1	grey
GADD45A	grey
GADD45B	grey
GADD45G	brown
GADD45GIP1	black
GAK	grey
GAL3ST2	grey
GAL3ST4	grey
GALC	grey
GALE	brown
GALK1	royalblue
GALK2	royalblue
GALM	grey
GALNS	red
GALNT1	grey
GALNT10	yellow
GALNT11	grey
GALNT12	brown
GALNT14	grey
GALNT2	greenyellow
GALNT3	grey
GALNT4	brown
GALNT5	lightcyan
GALNT6	yellow
GALNT7	grey
GALNTL4	grey
GALT	grey
GAMT	turquoise
GAN	brown
GANAB	greenyellow
GANC	grey
GAPDH	brown
GAPVD1	lightyellow
GAR1	grey
GARNL3	grey
GARS	grey
GART	grey
GAS1	turquoise
GAS2	green
GAS2L1	grey
GAS2L2	red
GAS2L3	grey
GAS5	grey
GAS6	pink
GAS7	red
GAS8	red
GAST	turquoise
GATA1	turquoise
GATA3	yellow
GATA6	brown
GATAD1	grey
GATAD2A	greenyellow
GATAD2B	greenyellow
GATC	grey
GATM	grey
GATS	darkred
GBA	yellow
GBA2	brown
GBAS	black
GBE1	grey
GBF1	greenyellow
GBP1	grey
GBP1P1	grey
GBP2	brown
GBP3	grey
GBP4	royalblue
GBP5	grey
GBP6	black
GCA	grey
GCAT	grey
GCC1	greenyellow
GCC2	grey
GCDH	salmon
GCSAM	grey
GCFC1	grey
GCFC2	grey
GCH1	brown
GCHFR	royalblue
GCLC	grey
GCLM	grey
GCN1L1	greenyellow
GCNT1	grey
GCNT2	grey
GCNT3	brown
GCNT4	turquoise
GCSH	grey
GDA	grey
GDAP1	black
GDAP2	blue
GDE1	grey60
GDF11	grey
GDF15	grey
GDF9	green
GDI1	grey
GDI2	blue
GDPD1	blue
GDPD3	turquoise
GDPD5	grey
GEM	grey
GEMIN2	blue
GEMIN4	grey
GEMIN5	grey
GEMIN6	black
GEMIN7	grey
GEMIN8	grey
GEMIN8P4	turquoise
GEN1	grey
GET4	lightcyan
GFER	grey
GFI1	grey
GFM1	grey
GFM2	black
GFOD1	yellow
GFOD2	grey
GFPT2	grey
GGA1	grey
GGA2	grey
GGA3	grey
GGCT	black
GGCX	grey
GGH	royalblue
GGNBP2	grey
GGPS1	blue
GGT1	turquoise
GGT5	grey
GGT6	turquoise
GGT7	grey
GGTA1P	turquoise
GH2	turquoise
GHDC	brown
GHITM	blue
GHR	grey
GHRLOS2	turquoise
GIGYF1	grey
GIGYF2	cyan
GIMAP2	blue
GIN1	blue
GINS1	black
GINS2	turquoise
GINS3	lightcyan
GINS4	grey
GIPC1	royalblue
GIPC2	green
GIPR	grey
GIT1	grey
GIT2	yellow
GJA1	grey
GJA10	turquoise
GJA3	grey
GJA4	grey
GJB1	turquoise
GJB3	brown
GJB4	grey
GJB5	yellow
GJB6	brown
GJD3	turquoise
GK	black
GK2	turquoise
GK5	grey
GKAP1	black
GLA	grey
GLB1	yellow
GLB1L	red
GLB1L2	red
GLB1L3	turquoise
GLCCI1	grey
GLCE	brown
GLDC	turquoise
GLDN	turquoise
GLE1	black
GLG1	greenyellow
GLI2	grey
GLI3	darkred
GLI4	grey
GLIPR1	pink
GLIPR1L2	green
GLIPR2	grey
GLIS2	grey
GLIS3	grey
GLMN	grey
GLO1	blue
GLOD4	grey
GLOD5	grey
GLRB	green
GLRX2	grey
GLRX3	blue
GLRX5	grey
GLS	grey
GLS2	grey
GLT25D1	lightcyan
GLT25D2	turquoise
GLT8D1	green
GLT8D2	grey
GLTP	grey60
GLTPD1	greenyellow
GLTPD2	turquoise
GLTSCR1	greenyellow
GLTSCR2	grey
GLUD2	turquoise
GLUL	grey
GLYATL2	grey
GLYCAM1	turquoise
GLYCTK	grey
GLYR1	lightyellow
GM2A	brown
GMCL1	grey
GMCL1P1	turquoise
GMDS	grey
GMEB1	grey
GMEB2	yellow
GMFB	blue
GMIP	grey
GMNC	green
GMPPA	grey
GMPPB	salmon
GMPR	grey
GMPR2	grey
GMPS	grey
GNA11	darkred
GNA12	yellow
GNA13	brown
GNA14	red
GNA15	brown
GNAI1	grey
GNAI2	pink
GNAI3	blue
GNAL	turquoise
GNAQ	yellow
GNAT1	turquoise
GNAT3	turquoise
GNAZ	grey
GNB1	yellow
GNB1L	grey
GNB2	grey
GNB2L1	grey
GNB3	turquoise
GNB4	grey
GNB5	grey
GNE	brown
GNG11	grey
GNG12	grey
GNG13	brown
GNG4	grey
GNG5	grey
GNL1	grey
GNL2	black
GNL3	blue
GNL3L	grey
GNMT	grey
GNPAT	black
GNPDA1	greenyellow
GNPDA2	blue
GNPNAT1	brown
GNPTAB	pink
GNPTG	grey
GNRHR2	turquoise
GNS	greenyellow
GOLGA1	grey
GOLGA2	grey
GOLGA2P5	green
GOLGA3	grey60
GOLGA4	lightgreen
GOLGA5	grey
GOLGA6B	turquoise
GOLGA6L1	turquoise
GOLGA6L9	grey
GOLGA7	grey
GOLGA7B	brown
GOLGA8CP	turquoise
GOLGB1	grey
GOLIM4	turquoise
GOLM1	greenyellow
GOLPH3	cyan
GOLPH3L	black
GOLT1A	grey
GOLT1B	grey
GON4L	grey
GORAB	grey
GORASP1	salmon
GORASP2	grey60
GOSR1	grey
GOSR2	yellow
GOT1	grey
GOT2	greenyellow
GP9	grey
GPA33	grey
GPAA1	greenyellow
GPANK1	black
GPAT2	grey
GPATCH1	salmon
GPATCH2	black
GPATCH3	grey
GPATCH4	grey
GPATCH8	grey
GPBP1	blue
GPBP1L1	greenyellow
GPC1	yellow
GPC2	grey
GPC4	grey
GPC6	pink
GPCPD1	grey
GPD1	grey
GPD1L	grey
GPD2	lightgreen
GPER	turquoise
GPHA2	turquoise
GPHN	grey
GPI	greenyellow
GPKOW	grey
GPLD1	grey
GPM6B	green
GPN1	blue
GPN2	grey
GPN3	blue
GPNMB	grey
GPR101	turquoise
GPR107	greenyellow
GPR108	brown
GPR110	grey
GPR115	grey
GPR116	grey
GPR119	turquoise
GPR125	grey
GPR126	grey
GPR132	grey
GPR135	green
GPR137B	grey
GPR137C	grey
GPR141	turquoise
GPR143	grey
GPR146	turquoise
GPR148	turquoise
GPR15	turquoise
GPR150	turquoise
GPR151	turquoise
GPR153	brown
GPR155	grey
GPR156	red
GPR157	pink
GPR160	blue
GPR161	yellow
GPR162	red
SLC52A2	pink
SLC52A1	grey
GPR174	turquoise
GPR176	grey
GPR180	grey
GPR183	grey
GPR21	turquoise
GPR25	turquoise
GPR27	turquoise
GPR31	turquoise
GPR32	turquoise
GPR37	turquoise
GPR39	darkred
GPR45	turquoise
GPR52	turquoise
GPR56	yellow
GPR6	turquoise
GPR62	turquoise
GPR63	grey
GPR68	pink
GPR75	grey
GPR82	turquoise
GPR85	black
GPR87	grey
