X152328_BSA_d1_A	X152328_IL13_d1_A	X153087_BSA_d1_A	X153087_IL13_d1_A	X153173_BSA_d2_H	X153173_IL13_d2_H	X153724_BSA_d1_A	X153724_IL13_d1_A	X153741_BSA_d2_H	X153741_IL13_d2_H	X153870_BSA_d1_H	X153870_IL13_d1_H	X154142_BSA_d2_A	X154142_IL13_d2_A	X154417_BSA_d2_A	X154417_IL13_d2_A	X154566_BSA_d1_A	X154566_IL13_d1_A	X154651_BSA_d2_A	X154651_IL13_d2_A	X154711_BSA_d1_A	X154711_IL13_d1_A	X154717_BSA_d1_A	X154717_IL13_d1_A	X154783_BSA_d1_A	X154783_IL13_d1_A	X155404_BSA_d2_H	X155404_IL13_d2_H
AKR1A1_AK1A1	4	3	2	3	3	0	0	1	0	1	1	0	0	2	4	4	2	4	2	2	2	3	4	5	0	0	0	2
AKR1B10_AK1BA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
AKR1C1_AK1C1	2	0	0	0	0	0	0	0	0	0	4	0	0	1	2	2	0	0	1	1	0	0	0	0	0	0	0	1
AKR1C2_AK1C2	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0
ALB_ALBU	5	5	5	5	6	8	3	5	6	8	5	0	6	9	5	6	6	6	6	6	4	3	6	3	5	4	6	5
ALCAM_CD166	0	0	0	0	1	0	0	0	0	0	0	0	1	0	5	2	0	0	0	2	0	0	0	2	0	0	0	0
ALDH1A1_AL1A1	12	12	10	11	9	9	8	7	8	11	13	0	6	8	13	19	9	15	14	9	16	9	13	13	0	6	10	14
ALDH1A2_AL1A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ALDH1A3_AL1A3	5	4	0	2	0	1	4	0	0	1	0	0	0	0	0	4	2	4	0	0	0	0	0	1	6	6	0	0
ALDH2_ALDH2	0	2	0	0	0	0	4	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH3A1_AL3A1	0	0	7	0	7	0	0	0	0	0	0	1	0	0	6	0	2	0	2	1	8	3	4	0	0	0	0	0
ALDH3B1_AL3B1	5	0	7	0	2	0	2	0	1	0	4	0	2	0	5	0	4	0	3	0	6	0	7	0	0	0	2	0
ALDOA_ALDOA	12	15	19	17	10	6	13	12	11	9	21	4	13	8	18	14	14	17	15	10	18	11	17	15	10	6	11	11
ALOX15_LOX15	5	20	6	23	4	16	6	15	0	13	5	5	1	19	4	27	4	20	4	21	5	13	2	22	0	18	0	22
ALPL_PPBT	0	4	2	7	1	3	0	2	2	6	0	1	0	3	1	6	0	5	6	7	0	2	0	4	0	1	1	4
ANPEP_AMPN	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0
ANXA1_ANXA1	14	14	15	17	18	14	12	10	11	16	21	2	13	13	17	21	14	19	16	15	18	10	18	15	6	11	12	17
ANXA11_ANX11	2	1	3	3	0	1	3	0	0	0	2	0	0	0	3	3	3	0	2	0	4	0	5	0	0	1	0	0
ANXA2_ANXA2	25	22	23	20	21	15	23	15	15	21	26	4	22	18	29	26	24	21	22	20	26	11	21	18	9	18	20	19
ANXA3_ANXA3	4	5	5	6	4	4	0	2	1	5	6	0	5	3	9	7	3	6	5	5	3	0	4	3	3	2	1	2
ANXA4_ANXA4	2	2	2	2	2	3	2	2	3	3	6	0	1	2	6	9	2	4	5	3	4	0	5	3	0	3	0	1
ANXA5_ANXA5	8	11	6	7	5	4	8	6	5	7	12	2	6	9	9	9	4	10	7	7	8	3	3	6	3	6	4	2
ANXA7_ANXA7	0	0	2	0	1	0	1	0	1	0	2	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	1
ANXA8_ANXA8	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0
APEX1_APEX1	2	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0
APP_A4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
APP_A4_2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AQP5_AQP5	1	0	1	0	1	0	0	0	1	0	0	0	1	0	2	1	0	0	2	0	0	0	0	0	0	0	1	0
ARCN1_COPD	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ARF1_ARF1	0	0	0	0	2	0	0	0	0	1	2	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
ARF3_ARF3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	1	0	2	0	0	0	0
ARF4_ARF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0
ARHGAP18_RHG18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0
ARHGDIA_GDIR1	1	2	0	1	0	1	0	0	0	2	2	0	1	1	2	1	0	2	1	1	1	0	0	1	0	0	0	1
ARPC1B_ARC1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
ARPC3_ARPC3	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
ARPC4_ARPC4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	1	0	0	0
ASAH1_ASAH1	4	2	0	0	1	0	1	0	4	2	2	0	0	2	2	1	3	5	5	1	2	0	1	0	2	2	3	1
ASPH_ASPH	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASS1_ASSY	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
ATP12A_AT12A	0	0	2	1	0	2	0	0	1	1	1	0	0	0	4	4	0	3	3	0	2	1	3	1	0	0	0	1
ATP1A1_AT1A1	2	0	0	3	0	0	3	0	0	1	0	0	0	0	2	2	0	0	0	3	2	0	0	0	0	0	0	1
ATP1A3_AT1A3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ATP1B1_AT1B1	0	1	0	1	0	1	0	0	0	0	2	0	0	1	1	2	0	0	1	1	0	0	1	0	0	1	1	1
ATP5A1_ATPA	0	1	4	2	1	0	7	0	0	0	6	0	1	1	4	6	0	1	0	3	3	0	0	1	0	0	1	3
ATP5B_ATPB	3	3	7	8	2	2	6	2	0	1	9	2	0	1	1	4	0	2	0	2	7	3	0	4	0	1	2	3
ATP5H_ATP5H	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ATP5O_ATPO	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0
ATP6V1A_VATA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
ATP6V1G1_VATG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1
ATPIF1_ATIF1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
B2M_B2MG	3	0	3	3	2	3	3	2	2	2	3	2	2	3	0	2	0	1	2	2	0	1	1	1	0	0	1	1
B4GALT1_B4GT1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	2	2	0	0	2	0	1	0	0	0	0	0	1	0
BAIAP2_BAIP2	5	0	3	0	5	0	0	0	2	1	6	0	3	1	7	1	0	0	6	1	6	0	5	2	0	0	5	0
BASP1_BASP1	7	0	4	0	10	2	0	0	5	1	8	0	5	1	10	5	5	0	7	2	6	0	9	1	0	0	5	0
BLVRB_BLVRB	0	2	0	1	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	2	0	0	0	0	0	0	0	2
BPIFA1_BPIA1	3	0	4	0	2	0	6	0	3	0	5	0	5	0	1	0	4	0	6	0	0	0	0	0	0	0	3	0
BPIFB1_BPIB1	30	26	25	22	18	24	28	24	23	24	27	9	28	29	16	29	22	22	30	25	19	12	26	24	18	13	29	30
BPNT1_BPNT1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
C3_CO3	73	9	47	7	64	26	74	37	73	19	79	5	57	13	78	58	81	32	91	26	52	3	75	26	69	0	79	20
C4A_CO4A	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0
CA2_CAH2	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0
CALR_CALR	3	3	3	1	0	0	4	0	0	0	5	0	0	1	2	3	1	1	1	3	2	2	0	0	0	0	0	1
CAND1_CAND1	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	2	3	2	0	0	0	1	0
CANT1_CANT1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CAP1_CAP1	1	5	1	3	0	1	1	2	0	2	2	3	1	3	0	6	0	5	0	2	0	3	1	0	0	1	0	3
CAPG_CAPG	2	2	1	1	2	1	0	2	0	0	4	0	0	1	3	1	0	2	0	1	0	0	0	2	0	0	0	0
CAPN1_CAN1	2	2	0	0	2	0	0	0	1	1	3	0	1	1	2	2	0	0	1	1	0	1	0	0	0	0	0	2
CAPN2_CAN2	2	2	4	2	1	0	0	0	1	1	5	0	1	0	4	2	3	2	1	2	0	0	0	2	0	0	1	3
CAPNS1_CPNS1	0	3	3	2	2	1	0	1	1	2	3	0	2	2	3	5	2	1	3	2	2	4	1	1	0	2	3	2
CAPS_CAYP1	7	4	9	6	8	6	3	3	7	5	12	0	11	8	12	10	9	9	13	8	9	4	11	8	0	0	8	4
CAPZA1_CAZA1	3	0	2	0	2	0	3	0	2	0	2	0	2	0	2	2	1	0	2	0	4	3	0	0	0	0	2	1
CAPZB_CAPZB	3	0	0	3	1	1	0	0	0	0	0	0	1	0	2	2	1	2	1	0	1	0	2	0	0	0	1	1
CAST_ICAL	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAT_CATA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CBR1_CBR1	2	1	0	2	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	2	0	1	0	2	0	0	0	0
CCL15_CCL15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
CCT2_TCPB	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	1	1	2	2	0	0	0	0	0	0
CCT3_TCPG	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCT4_TCPD	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CCT5_TCPE	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CCT8_TCPQ	3	1	2	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0
CD44_CD44	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0
CD55_DAF	2	4	0	5	0	1	0	0	1	3	2	0	2	4	1	4	2	3	6	1	0	0	2	1	0	0	1	3
CD59_CD59	4	3	2	0	3	1	2	0	2	1	5	0	2	1	5	2	5	0	3	0	4	0	6	2	2	2	3	1
CD63_CD63	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CD9_CD9	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2
CDC42_CDC42	0	0	1	1	1	0	1	0	1	2	2	0	1	1	1	3	0	1	2	3	2	2	2	1	0	0	1	2
CDH1_CADH1	0	1	0	0	1	1	0	0	0	1	1	0	0	0	2	4	0	0	0	1	1	0	0	2	0	0	0	0
CDH6_CADH6	0	2	0	0	0	0	0	2	0	3	0	0	0	1	0	1	0	0	1	1	0	1	0	3	0	0	0	1
CEACAM5_CEAM5	4	4	3	4	0	5	0	7	3	5	2	1	2	5	5	7	0	5	4	4	2	2	3	5	0	3	4	4
CEACAM6_CEAM6	1	1	1	1	0	0	0	0	2	2	1	0	2	1	3	2	1	0	1	0	0	0	1	1	0	0	1	0
CEP126_CE126	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CFB_CFAB	23	13	17	12	8	14	11	14	12	14	20	4	13	13	13	20	14	18	16	12	10	2	10	10	20	6	9	12
CFD_CFAD	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFH_CFAH	16	2	4	0	1	1	2	0	4	0	6	0	2	0	1	1	6	2	8	0	1	0	5	1	1	0	3	0
CFI_CFAI	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
CFL1_COF1	3	2	3	4	4	3	3	2	2	4	3	0	3	3	3	3	1	4	4	4	2	1	2	3	2	2	3	4
CHMP2B_CHM2B	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
CHMP4B_CHM4B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CIB1_CIB1	2	0	4	0	3	1	1	0	1	1	4	0	3	0	6	3	4	0	3	0	3	0	5	2	0	0	1	0
CKAP4_CKAP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0
CKB_KCRB	0	1	3	2	3	0	0	0	0	0	0	0	0	1	3	1	0	1	3	1	2	0	0	1	0	0	0	0
CKMT1A_KCRU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0
CLCA1_CLCA1	0	13	0	15	0	1	0	17	0	4	0	3	0	24	0	16	0	21	0	22	0	13	0	21	0	0	0	25
CLIC1_CLIC1	9	9	10	4	9	4	8	2	5	5	10	0	7	5	9	5	10	5	12	9	7	3	9	8	5	5	4	3
CLIC4_CLIC4	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0
CLIC6_CLIC6	7	0	4	0	4	0	0	0	3	0	10	1	4	1	6	2	8	0	14	2	7	0	12	0	0	0	2	0
CLSTN1_CSTN1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0
CLTC_CLH1	11	7	7	3	2	1	6	3	0	7	11	0	1	4	5	12	5	7	3	4	5	3	3	8	4	7	0	6
CLU_CLUS	14	2	10	2	9	3	9	3	8	1	9	0	8	3	9	6	13	3	15	6	19	3	10	5	3	0	7	1
CMPK1_KCY	4	4	3	2	1	1	0	0	0	2	3	1	1	2	1	2	1	1	2	2	2	0	0	2	0	0	0	3
CNDP2_CNDP2	7	2	7	3	4	1	2	2	0	0	9	0	2	1	4	6	7	1	3	0	7	2	4	5	1	5	1	1
COL1A1_CO1A1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2
COPZ1_COPZ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
CORO1B_COR1B	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	0	2	0	0	0	0	0	1	0	2
COX7A2_CX7A2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CP_CERU	27	7	25	2	20	4	21	5	21	1	27	1	23	3	21	7	16	6	26	5	17	0	24	3	8	0	23	1
CPE_CBPE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CRIP1_CRIP1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
CRIP2_CRIP2	1	0	2	0	3	0	0	0	0	0	1	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0
CRYM_CRYM	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CS_CISY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
CSRP1_CSRP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
CST1_CYTN	0	5	0	6	0	1	0	4	0	3	0	0	0	6	0	4	0	0	0	5	0	0	0	5	0	0	0	4
CST3_CYTC	2	2	2	4	2	3	0	3	2	3	2	0	3	6	3	4	2	2	5	4	2	3	2	1	0	1	2	5
CST6_CYTM	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	2	0	0	0	0
CSTB_CYTB	0	0	0	0	2	2	0	2	0	2	2	0	2	1	2	2	0	1	2	2	2	0	1	0	0	0	1	0
CTNNA1_CTNA1	1	3	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0	0
CTNNB1_CTNB1	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CTSB_CATB	7	7	6	3	7	3	6	4	6	3	7	0	9	2	9	6	7	4	9	4	7	5	5	1	5	4	7	3
CTSC_CATC	7	9	3	10	2	6	3	8	4	9	6	0	7	14	6	16	5	8	6	9	4	3	3	7	2	8	6	8
CTSD_CATD	17	10	8	6	7	6	8	5	6	1	11	0	12	8	12	12	11	5	12	6	9	4	13	9	5	1	12	7
CTSH_CATH	2	0	0	0	0	0	0	0	1	0	1	0	3	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0
CTSS_CATS	1	0	2	0	1	0	0	0	1	0	2	0	0	0	1	1	0	2	0	0	0	1	0	0	0	0	1	0
CTSZ_CATZ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0
CXCL1_GROA	3	2	2	2	3	0	3	3	3	2	4	0	4	2	3	3	1	4	4	1	5	0	0	0	4	0	2	1
CXCL6_CXCL6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CXCL8_IL8	2	4	1	2	0	0	0	3	0	2	1	0	0	2	0	2	0	1	2	1	0	0	0	2	2	0	0	0
CYB5R3_NB5R3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYCS_CYC	0	0	0	0	0	2	0	0	1	0	1	0	1	1	5	2	0	1	3	2	1	1	0	0	0	0	2	1
CYFIP1_CYFP1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAG1_DAG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0
DBNL_DBNL	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DDAH1_DDAH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
DDB1_DDB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DECR1_DECR	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLD_DLDH	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DNASE2_DNS2A	0	0	0	0	0	0	0	0	0	0	2	0	1	1	2	1	0	0	2	1	0	1	2	0	0	0	0	1
DPP3_DPP3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	1	0	0	0	0	2	0	0	0	0	0	0	0
DSC3_DSC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
DSP_DESP	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DSTN_DEST	1	2	1	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	0	0	0	1	0
DUOX2_DUOX2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECH1_ECH1	0	0	3	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0
ECM1_ECM1	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EDF1_EDF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
EEF1A1_EF1A1	6	7	5	5	6	4	6	5	0	5	9	0	5	7	7	8	3	5	5	8	0	3	1	0	5	3	3	7
EEF1A1P5_EF1A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0
EEF1D_EF1D	2	3	3	1	0	0	2	0	0	2	2	0	2	2	2	4	2	1	2	5	2	2	1	2	1	0	0	3
EEF1G_EF1G	2	0	1	1	0	0	0	1	1	3	3	0	0	1	1	3	0	1	0	0	0	1	0	0	0	1	1	3
EEF2_EF2	9	7	5	7	2	0	4	5	0	2	7	3	1	2	6	7	4	11	6	6	4	8	3	4	0	3	0	5
EFEMP1_FBLN3	0	1	3	0	2	1	0	0	1	1	3	0	2	1	6	4	2	1	6	1	3	0	4	1	0	0	1	1
EFNA1_EFNA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
EHD4_EHD4	3	1	4	0	1	0	1	0	1	0	2	0	1	0	1	1	4	0	2	0	2	0	3	0	0	0	1	0
EIF2S1_IF2A	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
EIF4A1_IF4A1	0	3	3	3	2	1	4	0	0	1	3	0	0	0	2	2	2	0	1	2	3	0	2	0	0	2	1	0
EIF4A2_IF4A2	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
EIF4B_IF4B	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
EIF6_IF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
ENO1_ENOA	11	14	14	13	13	14	10	11	6	12	22	4	13	15	14	20	10	13	12	19	19	12	19	15	8	7	8	13
EPHX1_HYEP	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EPPK1_EPIPL	0	0	5	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
